batch;ordine;titolo;slug;statoComplessivo;corpoPresente;azioneImmagine;idImmagine;giaPresentePrimaDelLotto1;directoryAttualePresente;note
Lotto 4;61;"Raggiunta finalmente l'intesa per il rinnovo del contratto delle cooperative sociali";raggiunta-finalmente-l-intesa-per-il-rinnovo-del-contratto-delle-cooperative-sociali;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;62;"Raggiunta finalmente l'intesa per il rinnovo del contratto delle cooperative sociali - Copy";raggiunta-finalmente-l-intesa-per-il-rinnovo-del-contratto-delle-cooperative-sociali-copy;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;63;"Regolamento per l’affidamento di contratti pubblici a cooperative sociali di tipo B";regolamento-per-l-affidamento-di-contratti-pubblici-a-cooperative-sociali-di-tipo-b;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;64;"Rinnovo del Contratto Collettivo per Colf e Badanti: cosa cambia dal 2025";rinnovo-del-contratto-collettivo-per-colf-e-badanti-cosa-cambia-dal-2025;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;65;"Roma approva il nuovo Regolamento per le Cooperative Sociali di Tipo B: speranze e criticità da non ignorare";roma-approva-il-nuovo-regolamento-per-le-cooperative-sociali-di-tipo-b-speranze-e-criticita-da-non-ignorare;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;66;"Roma Capitale sostiene le cooperative sociali";roma-capitale-sostiene-le-cooperative-sociali;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;67;"ROMA: Cooperative sociali di tipo B: pubblicato l’Elenco capitolino";roma-cooperative-sociali-di-tipo-b-pubblicato-l-elenco-capitolino;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;68;"Senza pace non può esserci progresso sociale";senza-pace-non-puo-esserci-progresso;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;69;"Si promette ma non si mantiene...";si-promette-ma-non-si-mantiene;migrabile-subito;SI;;;NO;NO;
Lotto 4;70;"Smart working e disabilità: cosa cambia con la nuova legge e perché è un’opportunità da non perdere";smart-working-e-disabilita-cosa-cambia-davvero-con-la-nuova-legge-e-perche-e-un-opportunita-da-non-perdere;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;71;"Sostegno alle Imprese Cooperative: il nuovo bando della Regione Lazio per il 2025";sostegno-alle-imprese-cooperative-il-nuovo-bando-della-regione-lazio-per-il-2025;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;72;"Start-up Innovative nel Settore dei Servizi per Disabili e Anziani: Promuovere l'Inclusione e il Benessere";start-up-innovative-nel-settore-dei-servizi-per-disabili-e-anziani-promuovere-l-inclusione-e-il-benessere;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;73;"Terzo Settore e digitale: per la prima volta, dei dati Istat su cui riflettere";terzo-settore-e-digitale-per-la-prima-volta-dei-dati-istat-su-cui-riflettere;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;74;"Turismo Accessibile: Opportunità e Sfide per l'Industria turistica italiana";turismo-accessibile-opportunita-e-sfide-per-l-industria-turistica-italiana;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;75;"Valore del no profit in Italia";valore-del-no-profit-in-italia;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 4;76;"Vanga e Fornello: l’agricoltura sostenibile";vanga-e-fornello-l-agricoltura-sostenibile;migrabile-senza-immagine;SI;;;NO;NO;
